Date,Open,High,Low,Close,Adj Close,Volume
2014-05-12,141.385544,141.385544,141.385544,141.385544,111.202682,0
2014-05-13,142.293808,144.715836,142.293808,144.715836,113.822021,105
2014-05-14,145.321335,145.321335,144.110321,144.715836,113.822021,1002
2014-05-15,145.321335,145.321335,142.293808,142.293808,111.917068,1615
2014-05-16,143.202057,143.202057,143.202057,143.202057,112.631386,14
2014-05-19,142.899307,143.202057,139.266281,142.899307,112.393311,4624
2014-05-20,143.202057,143.202057,143.202057,143.202057,112.631386,57
2014-05-21,141.385544,143.202057,141.385544,143.202057,112.631386,214
2014-05-22,143.504822,143.504822,142.899307,142.899307,112.393311,274
2014-05-23,142.293808,143.807571,142.293808,143.807571,113.107666,192
2014-05-26,145.018585,145.018585,145.018585,145.018585,114.060173,33
2014-05-27,144.110321,145.321335,144.110321,145.321335,114.298294,161
2014-05-28,144.413071,144.413071,144.110321,144.110321,113.345749,49
2014-05-30,144.110321,144.110321,144.110321,144.110321,113.345749,0
2014-06-02,144.110321,144.110321,144.110321,144.110321,113.345749,0
2014-06-03,145.018585,145.321335,144.715836,144.715836,113.822021,165
2014-06-04,144.715836,144.715836,144.715836,144.715836,113.822021,0
2014-06-05,142.899307,144.110321,142.899307,144.110321,113.345749,125
2014-06-06,144.413071,146.229599,144.413071,146.229599,115.012657,929
2014-06-10,147.137848,149.257126,147.137848,148.954361,117.155746,1933
2014-06-11,148.046112,148.348862,148.046112,148.348862,116.679482,710
2014-06-12,147.440598,147.743362,147.137848,147.137848,115.726959,90
2014-06-13,146.532349,146.532349,146.532349,146.532349,115.250755,115
2014-06-16,146.229599,146.532349,145.624084,146.532349,115.250755,242
2014-06-17,145.926834,145.926834,145.321335,145.321335,114.298294,264
2014-06-18,144.715836,144.715836,144.715836,144.715836,113.822021,214
2014-06-19,142.293808,145.018585,142.293808,143.807571,114.500206,743
2014-06-20,145.018585,146.835098,145.018585,146.835098,116.910751,214
2014-06-23,146.835098,148.046112,145.926834,146.229599,116.428642,616
2014-06-24,145.624084,145.624084,145.624084,145.624084,115.946495,16
2014-06-25,144.715836,145.321335,142.899307,142.899307,113.777054,891
2014-06-26,142.899307,142.899307,142.899307,142.899307,113.777054,0
2014-06-27,142.899307,142.899307,142.899307,142.899307,113.777054,82
2014-06-30,142.899307,142.899307,141.688293,141.688293,112.812820,19
2014-07-01,141.688293,141.688293,141.688293,141.688293,112.812820,66
2014-07-02,141.688293,142.596558,141.688293,142.596558,113.535980,1266
2014-07-03,142.596558,145.321335,142.293808,145.321335,115.705475,467
2014-07-04,143.807571,143.807571,143.807571,143.807571,114.500206,66
2014-07-07,145.018585,145.018585,144.715836,144.715836,115.223351,145
2014-07-08,144.110321,144.110321,142.899307,142.899307,113.777054,297
2014-07-09,141.991058,143.202057,141.991058,142.293808,113.294960,445
2014-07-10,140.477295,141.688293,140.477295,141.688293,112.812820,727
2014-07-11,141.082794,141.688293,141.082794,141.688293,112.812820,2559
2014-07-14,142.293808,144.110321,141.082794,144.110321,114.741211,558
2014-07-15,144.110321,144.110321,144.110321,144.110321,114.741211,0
2014-07-16,142.293808,145.321335,142.293808,145.321335,115.705475,247
2014-07-17,145.926834,146.532349,145.624084,146.532349,116.669678,297
2014-07-18,143.807571,146.229599,143.807571,146.229599,116.428642,170
2014-07-21,144.413071,144.413071,143.504822,143.504822,114.259125,87
2014-07-22,143.504822,143.504822,143.504822,143.504822,114.259125,0
2014-07-23,143.504822,143.504822,143.504822,143.504822,114.259125,0
2014-07-24,143.504822,143.504822,143.504822,143.504822,114.259125,0
2014-07-25,141.082794,141.688293,141.082794,141.082794,112.330719,22903
2014-07-28,140.780045,140.780045,139.266281,139.569031,111.125458,1376
2014-07-29,140.477295,140.477295,140.477295,140.477295,111.848610,0
2014-07-30,140.477295,140.477295,140.477295,140.477295,111.848610,0
2014-07-31,140.477295,140.477295,140.477295,140.477295,111.848610,0
2014-08-04,141.688293,141.688293,136.844254,139.569031,111.125458,596
2014-08-05,138.358017,138.358017,138.358017,138.358017,110.161224,54
2014-08-06,137.147003,139.569031,136.844254,139.569031,111.125458,782
2014-08-07,139.266281,140.477295,137.147003,140.477295,111.848610,304
2014-08-08,138.055267,139.266281,138.055267,139.266281,110.884415,158
2014-08-11,140.780045,140.780045,140.780045,140.780045,112.089630,99
2014-08-12,140.174530,140.477295,140.174530,140.477295,111.848610,371
2014-08-13,140.477295,140.477295,140.477295,140.477295,111.848610,0
2014-08-14,141.082794,141.385544,141.082794,141.385544,112.571762,99
2014-08-15,141.385544,141.385544,141.385544,141.385544,112.571762,0
2014-08-18,141.688293,141.688293,141.688293,141.688293,112.812820,104
2014-08-19,142.293808,143.504822,142.293808,143.202057,114.018044,282
2014-08-20,142.899307,144.715836,142.899307,144.715836,115.223351,255
2014-08-21,145.018585,145.926834,145.018585,145.926834,116.187576,66
2014-08-22,145.926834,145.926834,145.926834,145.926834,116.187576,0
2014-08-25,145.018585,145.321335,143.807571,145.321335,115.705475,282
2014-08-26,145.321335,145.321335,145.321335,145.321335,115.705475,3
2014-08-27,145.321335,145.321335,145.321335,145.321335,115.705475,0
2014-08-28,144.413071,144.413071,144.413071,144.413071,114.982292,37
2014-08-29,144.413071,144.413071,144.413071,144.413071,114.982292,0
2014-09-01,142.596558,142.596558,142.293808,142.293808,113.294960,99
2014-09-02,142.596558,144.715836,142.596558,144.413071,114.982292,1870
2014-09-03,143.504822,143.504822,142.899307,142.899307,113.777054,138
2014-09-04,143.202057,145.926834,143.202057,145.926834,116.187576,918
2014-09-05,145.926834,145.926834,145.926834,145.926834,116.187576,0
2014-09-08,148.046112,148.046112,146.229599,147.440598,117.392853,394
2014-09-09,147.137848,147.743362,146.835098,147.440598,117.392853,1064
2014-09-10,147.137848,147.137848,147.137848,147.137848,117.151733,82
2014-09-11,145.321335,146.835098,145.321335,146.229599,116.428642,380
2014-09-12,146.229599,146.229599,146.229599,146.229599,116.428642,0
2014-09-15,146.532349,146.532349,145.624084,145.624084,115.946495,1511
2014-09-16,145.926834,147.137848,145.926834,147.137848,117.151733,866
2014-09-17,147.137848,148.651611,146.835098,148.651611,118.357048,1056
2014-09-18,148.348862,148.348862,148.348862,148.348862,119.531212,67
2014-09-19,148.651611,148.651611,148.651611,148.651611,119.775139,19
2014-09-22,148.651611,148.954361,146.532349,148.954361,120.019058,1024
2014-09-23,146.835098,148.046112,146.835098,148.046112,119.287285,1963
2014-09-24,145.624084,148.046112,145.624084,148.046112,119.287285,136
2014-09-25,148.954361,148.954361,148.954361,148.954361,120.019058,165
2014-09-26,148.954361,148.954361,148.954361,148.954361,120.019058,0
2014-09-29,148.651611,148.651611,148.651611,148.651611,119.775139,33
2014-09-30,148.348862,148.348862,148.348862,148.348862,119.531212,495
2014-10-01,147.440598,147.743362,147.440598,147.743362,119.043335,447
2014-10-02,145.321335,145.321335,145.321335,145.321335,117.091789,148
2014-10-03,145.321335,145.321335,145.321335,145.321335,117.091789,0
2014-10-06,149.559875,149.559875,149.559875,149.559875,120.506973,66
2014-10-07,146.532349,146.532349,145.624084,145.624084,117.335747,1634
2014-10-08,144.110321,144.110321,144.110321,144.110321,116.115982,247
2014-10-09,144.110321,147.137848,144.110321,144.413071,116.359940,110
2014-10-10,142.899307,143.504822,142.293808,143.504822,115.628105,436
2014-10-13,139.266281,139.266281,139.266281,139.266281,112.212990,24265
2014-10-14,139.569031,140.477295,139.569031,139.569031,112.456917,2206
2014-10-15,138.358017,138.358017,138.358017,136.844254,110.261452,232
2014-10-16,136.541504,138.660767,135.633240,138.660767,111.725098,4821
2014-10-17,137.449768,143.202057,137.449768,142.899307,115.140259,1527
2014-10-20,141.082794,142.899307,141.082794,142.899307,115.140259,752
2014-10-21,142.899307,142.899307,142.899307,142.899307,115.140259,0
2014-10-22,145.926834,145.926834,145.926834,145.926834,117.579666,99
2014-10-23,145.926834,145.926834,145.926834,145.926834,117.579666,0
2014-10-24,145.926834,145.926834,145.926834,145.926834,117.579666,0
2014-10-27,145.926834,147.440598,145.926834,147.440598,118.799347,83
2014-10-28,147.440598,147.440598,147.440598,147.440598,118.799347,82
2014-10-29,148.348862,148.348862,148.348862,148.348862,119.531212,33
2014-10-30,148.348862,148.348862,148.348862,148.348862,119.531212,0
2014-10-31,150.165375,151.376389,150.165375,151.376389,121.970604,649
2014-11-03,151.679138,151.679138,149.257126,149.559875,120.506973,1345
2014-11-04,149.862625,149.862625,149.862625,149.862625,120.750923,33
2014-11-05,147.743362,151.376389,147.743362,150.165375,120.994812,217
2014-11-06,150.165375,153.798416,150.165375,153.495667,123.678207,857
2014-11-07,153.798416,155.009430,153.192902,153.798416,123.922165,1404
2014-11-10,152.587402,154.101166,152.587402,154.101166,124.166031,280
2014-11-11,154.101166,154.101166,154.101166,154.101166,124.166031,0
2014-11-12,151.376389,154.403915,151.376389,154.403915,124.410072,305
2014-11-13,154.403915,155.009430,154.101166,154.403915,124.410072,502
2014-11-14,154.403915,154.403915,154.403915,154.403915,124.410072,46
2014-11-17,155.614929,155.614929,155.614929,155.614929,125.385834,66
2014-11-18,153.798416,156.220428,153.798416,156.220428,125.873665,148
2014-11-19,156.220428,156.220428,155.312180,155.312180,125.141891,152
2014-11-20,155.312180,155.312180,155.312180,155.312180,125.141891,0
2014-11-21,157.431442,158.339706,157.431442,158.339706,127.581253,952
2014-11-24,158.339706,158.339706,157.431442,157.431442,126.849419,161
2014-11-25,157.734192,157.734192,157.734192,157.734192,127.093407,106
2014-11-26,157.734192,157.734192,157.734192,157.734192,127.093407,0
2014-11-27,154.403915,157.431442,154.403915,157.431442,126.849419,80
2014-11-28,156.825943,156.825943,155.917679,155.917679,125.629715,704
2014-12-01,153.192902,153.192902,151.073639,151.073639,121.726723,743
2014-12-02,151.073639,154.403915,150.165375,154.403915,124.410072,514
2014-12-03,154.403915,154.403915,154.403915,154.403915,124.410072,0
2014-12-04,157.431442,157.431442,152.284653,152.284653,122.702415,226
2014-12-05,152.284653,152.284653,152.284653,152.284653,122.702415,0
2014-12-08,153.495667,153.495667,153.495667,153.495667,123.678207,412
2014-12-09,151.073639,151.073639,146.229599,146.229599,117.823593,594
2014-12-10,146.229599,146.229599,146.229599,146.229599,117.823593,0
2014-12-11,146.229599,146.229599,146.229599,146.229599,117.823593,0
2014-12-12,147.440598,147.743362,147.440598,147.440598,118.799347,913
2014-12-15,145.321335,145.321335,141.082794,141.082794,113.676598,867
2014-12-16,141.385544,145.018585,141.082794,145.018585,116.847885,289
2014-12-17,143.504822,143.807571,141.991058,141.991058,114.408455,276
2014-12-18,141.991058,141.991058,141.991058,141.991058,115.910484,0
2014-12-19,146.835098,148.651611,146.835098,148.651611,121.347626,271
2014-12-22,155.009430,155.009430,155.009430,155.009430,126.537659,495
2014-12-23,153.192902,155.009430,153.192902,155.009430,126.537659,264
2014-12-29,157.431442,157.431442,154.101166,154.101166,125.796196,326
2014-12-30,152.284653,152.284653,152.284653,152.284653,124.313324,20
2015-01-05,152.284653,152.587402,151.376389,151.376389,123.571953,496
2015-01-06,151.376389,151.376389,151.376389,151.376389,123.571953,0
2015-01-07,147.137848,147.137848,147.137848,147.137848,120.111893,330
2015-01-08,149.862625,149.862625,148.954361,148.954361,121.594757,127
2015-01-09,150.165375,150.165375,150.165375,150.165375,122.583328,13902
2015-01-12,150.165375,150.165375,145.018585,145.018585,118.381950,82
2015-01-13,150.770889,150.770889,150.770889,150.770889,123.077667,82
2015-01-14,150.165375,150.165375,150.165375,150.165375,122.583328,49
2015-01-15,142.293808,133.211227,118.073586,133.211227,108.743309,3796
2015-01-16,130.789200,130.789200,121.403862,121.403862,99.104675,134
2015-01-19,125.945152,125.945152,121.403862,125.945152,102.811867,658
2015-01-20,127.156166,127.156166,126.853416,127.156166,103.800423,159
2015-01-21,122.312119,122.312119,122.312119,122.312119,99.846100,8
2015-01-22,127.156166,127.156166,127.156166,127.156166,103.800423,317
2015-01-23,128.972687,129.880936,128.972687,129.880936,106.024696,419
2015-01-26,133.513977,133.513977,132.908463,133.211227,108.743309,1031
2015-01-27,135.633240,135.633240,132.000214,132.302963,108.001862,15603
2015-01-28,135.027740,135.027740,131.091949,131.091949,107.013268,158
2015-01-29,133.513977,133.513977,132.908463,132.908463,108.496147,11428
2015-01-30,133.211227,135.330490,133.211227,135.330490,110.473312,445
2015-02-02,133.816727,134.724991,132.908463,134.724991,109.979019,512
2015-02-03,136.844254,136.844254,136.844254,136.844254,111.709038,82
2015-02-04,138.660767,138.963531,134.422241,134.422241,109.731873,330
2015-02-05,136.238754,136.844254,136.238754,136.844254,111.709038,866
2015-02-06,136.844254,136.844254,136.844254,136.844254,111.709038,0
2015-02-09,137.752518,137.752518,137.752518,137.752518,112.450470,33
2015-02-10,137.752518,137.752518,137.752518,137.752518,112.450470,0
2015-02-11,138.660767,138.660767,138.660767,138.660767,113.191895,1486
2015-02-12,138.660767,138.660767,138.660767,138.660767,113.191895,0
2015-02-13,140.174530,140.174530,140.174530,140.174530,114.427589,79
2015-02-16,140.174530,140.174530,140.174530,140.174530,114.427589,0
2015-02-17,139.871780,139.871780,139.871780,139.871780,114.180443,82
2015-02-18,142.293808,142.293808,141.991058,141.991058,115.910484,41
2015-02-19,143.807571,143.807571,143.504822,143.504822,118.684143,119
2015-02-20,143.504822,143.504822,142.899307,142.899307,118.183403,66
2015-02-23,143.202057,143.202057,142.293808,142.293808,117.682625,495
2015-02-24,145.018585,145.321335,145.018585,145.321335,120.186462,150
2015-02-25,144.413071,146.229599,144.413071,146.229599,120.937645,181
2015-02-26,148.348862,148.348862,148.046112,148.046112,122.440025,231
2015-02-27,148.046112,148.348862,147.137848,148.046112,122.440025,181
2015-03-02,148.046112,148.046112,148.046112,148.046112,122.440025,0
2015-03-03,151.376389,151.376389,151.376389,151.376389,125.194275,198
2015-03-04,151.376389,151.376389,151.376389,151.376389,125.194275,0
2015-03-05,151.376389,151.376389,151.376389,151.376389,125.194275,0
2015-03-06,151.376389,151.376389,151.376389,151.376389,125.194275,0
2015-03-09,153.798416,153.798416,151.679138,151.679138,125.444656,121
2015-03-10,152.284653,152.284653,152.284653,152.284653,125.945450,8
2015-03-11,154.403915,154.706665,153.798416,153.798416,127.197380,346
2015-03-12,156.220428,156.220428,151.981888,152.587402,126.195839,348
2015-03-13,152.587402,152.587402,152.587402,152.587402,126.195839,0
2015-03-16,150.468124,150.468124,149.862625,149.862625,123.942352,755
2015-03-17,149.862625,149.862625,149.862625,149.862625,123.942352,0
2015-03-18,151.073639,151.073639,151.073639,151.073639,124.943916,127
2015-03-19,152.890152,153.495667,152.284653,152.284653,125.945450,368
2015-03-20,151.376389,151.376389,151.376389,151.376389,125.194275,660
2015-03-23,149.257126,149.862625,148.651611,148.651611,122.940788,231
2015-03-24,148.348862,148.348862,148.348862,148.348862,122.690384,33
2015-03-25,145.926834,145.926834,144.715836,144.715836,119.685776,165
2015-03-26,142.293808,142.293808,142.293808,142.293808,117.682625,1
2015-03-27,142.899307,144.413071,142.899307,144.413071,119.435318,435
2015-03-30,148.348862,148.348862,145.321335,145.926834,120.687271,322
2015-03-31,145.926834,145.926834,145.926834,145.926834,120.687271,0
2015-04-01,148.651611,148.651611,144.413071,144.413071,119.435318,181
2015-04-02,144.413071,144.413071,144.413071,144.413071,119.435318,0
2015-04-07,144.715836,147.743362,144.413071,147.743362,122.189613,911
2015-04-08,145.018585,145.018585,145.018585,145.018585,119.936150,224
2015-04-09,145.321335,147.743362,145.321335,147.743362,122.189613,363
2015-04-10,150.770889,165.908524,150.770889,164.394760,135.960983,21093
2015-04-13,167.119537,168.633301,163.789246,163.789246,135.460205,9770
